popularity,budget,revenue,original_title,cast,director,keywords,runtime,genres,production_companies,vote_count,vote_average,release_year
1.073349,1800000.0,4641089.515847268,Bone Tomahawk,Kurt Russell|Richard Jenkins|Matthew Fox|Lili Simmons|Sean Young,S. Craig Zahler,poison|prisoner|murder|rifle|gore,132,Horror|Western|Adventure|Drama,Caliber Media Company|The Fyzz Facility|Realbuilder Productions,220,6.3,2015
1.065888,3752316.162340903,17671101.0,Regression,Ethan Hawke|Emma Watson|Aaron Ashmore|Devon Bostick|David Thewlis,Alejandro AmenÃ¡bar,investigation|memory loss,106,Horror|Mystery|Thriller,The Weinstein Company|HimenÃ³ptero|First Generation Films|Mod Producciones|FilmNation Entertainment,310,5.2,2015
1.063055,3752316.162340903,4641089.515847268,Pawn Sacrifice,Tobey Maguire|Lily Rabe|Peter Sarsgaard|Liev Schreiber|Sophie NÃ©lisse,Edward Zwick,chess|cold war|russia|biography|victory,114,Drama,Material Pictures|MICA Entertainment|PalmStar Media|Gail Katz Productions,148,6.6,2015
1.046518,3752316.162340903,11472454.0,The Man Who Knew Infinity,Jeremy Irons|Dev Patel|Toby Jones|Stephen Fry|Jeremy Northam,Matt Brown,england|indian|mathematician|biography|cambridge,108,Drama,Animus Films|Edward R. Pressman Film|Kreo Films FZ|Xeitgeist Entertainment Group|American Entertainment Investors,104,7.1,2015
1.041922,20000000.0,4641089.515847268,Momentum,Olga Kurylenko|Morgan Freeman|James Purefoy|Jenna Saras|Lee-Anne Summers,Stephen S. Campanelli,unknown,96,Thriller|Action,Thaba Media|Azari Media,100,5.8,2015
1.03839,2000000.0,1477002.0,The Diary of a Teenage Girl,Bel Powley|Kristen Wiig|Alexander SkarsgÃ¥rd|Christopher Meloni|Margarita Levieva,Marielle Heller,1970s|teenage girl|older man younger woman relationship|based on graphic novel|teenage sexuality,102,Drama|Romance,Caviar Films|Cold Iron Pictures|Archer Gray,186,6.8,2015
1.036825,3752316.162340903,4641089.515847268,Pay the Ghost,Nicolas Cage|Sarah Wayne Callies|Veronica Ferres|Lyriq Bent|Lauren Beatty,Uli Edel,halloween|police|revenge|burned alive|children,94,Horror|Thriller,Voltage Films|Midnight Kitchen Productions,114,5.3,2015
1.021441,3752316.162340903,3643591.0,Last Knights,Clive Owen|Morgan Freeman|Aksel Hennie|Shohreh Aghdashloo|James Babson,Kazuaki Kiriya,loyalty|emperor|castle|sword fight|revenge,115,Action|Adventure,Czech Anglo Productions|Luka Productions,237,6.3,2015
1.008474,12000000.0,4641089.515847268,Il racconto dei racconti,Salma Hayek|Vincent Cassel|John C. Reilly|Toby Jones|Shirley Henderson,Matteo Garrone,unknown,125,Romance|Fantasy|Horror,HanWay Films|Rai Cinema|Le Pacte|Fonds Eurimages du Conseil de l'Europe|Recorded Picture Company (RPC),211,5.7,2015
1.007054,11000000.0,27391084.0,Irrational Man,Emma Stone|Joaquin Phoenix|Jamie Blackley|Parker Posey|Meredith Hagner,Woody Allen,unknown,95,Mystery|Drama,Sony Pictures|Gravier Productions,319,6.1,2015
0.973316,15000000.0,4641089.515847268,Queen of the Desert,Nicole Kidman|James Franco|Robert Pattinson|Damian Lewis|Jenny Agutter,Werner Herzog,middle east|persia|adventurer,128,Drama|History,Benaroya Pictures|H Films|Raslan Company of America,30,6.0,2015
0.956096,18000000.0,41325328.0,Ricki and the Flash,Meryl Streep|Kevin Kline|Mamie Gummer|Sebastian Stan|Audra McDonald,Jonathan Demme,homophobia|rock star|aging|family relationships|divorce,100,Comedy|Drama|Music,Columbia TriStar|Clinica Estetico|LStar Capital,152,5.5,2015
0.953647,3752316.162340903,4641089.515847268,Miss You Already,Drew Barrymore|Toni Collette|Dominic Cooper|Jacqueline Bisset|Paddy Considine,Catherine Hardwicke,female friendship|music|friendship|love|cancer,112,Comedy|Drama|Romance,S Films|New Sparta Films,139,7.2,2015
0.938432,3752316.162340903,1936524.0,A Bigger Splash,Tilda Swinton|Matthias Schoenaerts|Ralph Fiennes|Dakota Johnson|Aurore ClÃ©ment,Luca Guadagnino,italy|fish|rock star|vacation|rock concert,120,Crime|Drama|Mystery|Thriller,StudioCanal|Ministero per i Beni e le AttivitÃ  Culturali (MiBAC)|Frenesy Film Company|Sensi Contemporanei Cinema e Audiovisivo|Cota Film,69,5.8,2015
0.93762,10000000.0,7587485.0,While We're Young,Ben Stiller|Naomi Watts|Adam Driver|Amanda Seyfried|Charles Grodin,Noah Baumbach,marriage|middle age,97,Drama|Comedy,Scott Rudin Productions|A24,265,5.9,2015
0.91704,3752316.162340903,4641089.515847268,Kidnapping Mr. Heineken,Anthony Hopkins|Jim Sturgess|Sam Worthington|Ryan Kwanten|Mark van Eeuwen,Daniel Alfredson,unknown,95,Drama|Action|Crime|Thriller,Umedia|Informant Europe SPRL|European Film Company,131,5.8,2015
0.90686,3752316.162340903,4641089.515847268,Kill Me Three Times,Teresa Palmer|Simon Pegg|Luke Hemsworth|Sullivan Stapleton|Alice Braga,Kriv Stenders,assassin|dark comedy,90,Comedy|Thriller,Parabolic Pictures|Stable Way Entertainment|Cargo Films|Media House Capital,96,5.1,2015
0.906036,25000000.0,24902723.0,The 33,Antonio Banderas|Rodrigo Santoro|Juliette Binoche|James Brolin|Lou Diamond Phillips,Patricia Riggen,mining|chile|based on true story|survival|woman director,120,History|Drama,Alcon Entertainment|Phoenix Pictures|Fabula|Half Circle,262,5.8,2015
0.898295999999999,14000000.0,16002420.0,Suffragette,Carey Mulligan|Helena Bonham Carter|Meryl Streep|Ben Whishaw|Brendan Gleeson,Sarah Gavron,london|biography|feminist|period drama|woman director,106,Drama|History,Ruby Films|PathÃ©|Film4,231,7.1,2015
0.894477,3752316.162340903,4641089.515847268,45 Years,Charlotte Rampling|Tom Courtenay|Dolly Wells|Geraldine James|David Sibley,Andrew Haigh,secret|marriage,95,Drama,The Bureau,167,6.0,2015
0.880268,3752316.162340903,6075.0,Barely Lethal,Hailee Steinfeld|Sophie Turner|Jessica Alba|Samuel L. Jackson|Dove Cameron,Kyle Newman,assassin|high school,96,Adventure|Action|Comedy,A24,215,5.5,2015
0.874641,3752316.162340903,13192457.0,Macbeth,Michael Fassbender|Marion Cotillard|Paddy Considine|Sean Harris|Jack Reynor,Justin Kurzel,scotland|shakespeare|medieval,113,History|Drama|War,Studio Canal|See-Saw Films|Creative Scotland|Film4|Anton Capital Entertainment (ACE),269,6.4,2015
0.872149,3752316.162340903,16775.0,Extraction,Bruce Willis|Gina Carano|Kellan Lutz|D. B. Sweeney|Dan Bilzerian,Steven C. Miller,terrorist|kidnapping|ex cia agent|rescue operation,83,Action|Thriller,Emmett/Furla Films|Oasis Films|Aperture Entertainment|Twirly Films Limited,57,4.2,2015
0.861179,3752316.162340903,4641089.515847268,Jenny's Wedding,Katherine Heigl|Tom Wilkinson|Alexis Bledel|Grace Gummer|Linda Emond,Mary Agnes Donoghue,woman director,94,Comedy|Drama,MM Productions|Merced Media Partners|PalmStar Media,92,5.2,2015
0.848748,3752316.162340903,4641089.515847268,Descendants,Booboo Stewart|Dove Cameron|Keegan Connor Tracy|Stephanie Bennett|Dan Payne,Kenny Ortega,fairy tale|villain|musical|teen movie|teenager,112,Music|Action|Adventure|Comedy|Family,Walt Disney Television,262,6.7,2015
0.843174,3752316.162340903,4641089.515847268,Tumbledown,Joe Manganiello|Jason Sudeikis|Blythe Danner|Rebecca Hall|Dianna Agron,Sean Mewshaw,widow|biography|writer|folk singer,105,Music|Romance|Comedy,Echo Films|Bron Studios|Hahnscape,22,6.6,2015
0.842202,3752316.162340903,30229977.0,Far from the Madding Crowd,Carey Mulligan|Matthias Schoenaerts|Michael Sheen|Tom Sturridge|Juno Temple,Thomas Vinterberg,sheep|rural setting|housekeeper,119,Romance|Drama,Fox Searchlight Pictures|DNA Films|BBC Films,220,6.9,2015
0.836940999999999,3752316.162340903,3002884.0,The End of the Tour,Jason Segel|Jesse Eisenberg|Anna Chlumsky|Mamie Gummer|Joan Cusack,James Ponsoldt,unknown,106,Drama,A24,126,7.3,2015
0.829111,20000000.0,6420319.0,Little Boy,Jakob Salvati|Emily Watson|Cary-Hiroyuki Tagawa|Michael Rapaport|David Henrie,Alejandro Monteverde,unknown,106,Comedy|Drama|War,Metanoia Films,113,7.1,2015
0.821443,3752316.162340903,4641089.515847268,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,Nolan North|Troy Baker|Diedrich Bader|Khary Payton|James Arnold Taylor,Brandon Vietti,dc comics|based on comic book|super powers|lego,48,Action|Adventure|Animation|Family,Warner Bros. Animation,14,6.4,2015
0.820691,3752316.162340903,1986615.0,Remember,Christopher Plummer|Martin Landau|Dean Norris|Henry Czerny|Bruno Ganz,Atom Egoyan,unknown,94,Drama|Thriller,Serendipity Point Films|Egoli Tossell Film AG,75,7.7,2015
0.810667,3752316.162340903,4641089.515847268,Halo: The Fall of Reach,Steve Downes|Jen Taylor|Michelle Lukes|Travis Willingham|Brittany Uomoleale,Ian Kirby,video game|based on novel|space war|animation|halo,67,Action|Animation|Science Fiction,343 Industries|The Sequence Group,32,5.3,2015
0.795762,28000000.0,7002261.0,Our Brand Is Crisis,Sandra Bullock|Anthony Mackie|Billy Bob Thornton|Zoe Kazan|Scoot McNairy,David Gordon Green,political campaign|south america,108,Drama|Comedy,Participant Media|Smokehouse Pictures,122,5.7,2015
0.792471,3752316.162340903,4641089.515847268,Into the Forest,Ellen Page|Evan Rachel Wood|Max Minghella|Callum Keith Rennie|Michael Eklund,Patricia Rozema,female nudity|rape|fire|dancer|based on novel,101,Drama|Science Fiction,Rhombus Media|Bron Studios,57,5.1,2015
0.787968999999999,3752316.162340903,231737.0,The Invitation,Michiel Huisman|Logan Marshall-Green|Tammy Blanchard|Mike Doyle|John Carroll Lynch,Karyn Kusama,psychological thriller|psycho thriller|woman director|reunited friends|dinner party,100,Thriller,Pandastorm Pictures,192,6.4,2015
0.781809,3752316.162340903,4641089.515847268,The Benefactor,Dakota Fanning|Theo James|Richard Gere|Clarke Peters|Brian Anthony Wilson,Andrew Renzi,unknown,90,Drama,KSM,55,4.5,2015
0.773909,3752316.162340903,4641089.515847268,Open Season: Scared Silly,Garry Chalk|Kathleen Barr|Willa Townsend|Melissa Sturm|Trevor Devall,David Feiss,bear|open season|elliot|boog,85,Animation|Comedy|Family|Adventure,Sony Pictures Animation,33,5.6,2015
0.77107,3752316.162340903,134552.0,Cop Car,Kevin Bacon|James Freedson-Jackson|Hays Wellford|Shea Whigham|Camryn Manheim,Jon Watts,sheriff|colorado|murder|suspense|shootout,86,Thriller,Park Pictures|Audax Films|Dark Arts Film|End Cue,174,5.5,2015
0.768138,3752316.162340903,4641089.515847268,Mojave,Oscar Isaac|Garrett Hedlund|Mark Wahlberg|Walton Goggins|Louise Bourgoin,William Monahan,unknown,93,Thriller,Atlas Independent|Henceforth Pictures|Highland Film Group|MICA Entertainment,17,4.3,2015
0.758133,3752316.162340903,3214116.0,Sleeping with Other People,Jason Sudeikis|Alison Brie|Adam Scott|Natasha Lyonne|Amanda Peet,Leslye Headland,sex|cheating|love|male female relationship|woman director,100,Comedy,Sidney Kimmel Entertainment|Gary Sanchez Productions|IM Global,197,6.2,2015
0.747541,11000000.0,4641089.515847268,Forsaken,Demi Moore|Kiefer Sutherland|Donald Sutherland|Brian Cox|Siobhan Williams,Jon Cassar,unknown,90,Western|Drama,Minds Eye Entertainment|Panacea Entertainment|Moving Pictures Media,53,5.6,2015
0.7299,3752316.162340903,4641089.515847268,Madame Bovary,Mia Wasikowska|Ezra Miller|Laura Carmichael|Henry Lloyd-Hughes|Paul Giamatti,Sophie Barthes,period piece|social status|extramarital affair|woman director,118,Drama,A Company Filmproduktionsgesellschaft|Aleph Motion Pictures|Aden Film,52,5.3,2015
0.719407,3752316.162340903,4641089.515847268,The Hallow,Joseph Mawle|Bojana NovakoviÄ‡|Michael McElhatton|Gary Lydon|Stuart Graham,Corin Hardy,baby|fairy tale|tree|transformation|mill,97,Fantasy|Horror,Prescience|Bord Scannan na hEireann / Irish Film Board|Fantastic Films|Altitude Film Entertainment|Occupant Entertainment,122,4.9,2015
0.714131,3752316.162340903,4641089.515847268,Barbie in Princess Power,Britt Irvin|Michael Kopsa|Kelly Sheridan,Zeke Norton,barbie|princess|super powers,74,Family|Animation,Mattel Playground Productions,13,5.5,2015
0.707355,3752316.162340903,4641089.515847268,Howl,Ed Speleers|Shauna Macdonald|Elliot Cowan|Holly Weston|Amit Shah,Paul Hyett,england|fire|conductor|chase|transformation,89,Horror,Starchild Pictures,62,4.9,2015
0.706023,7000000.0,573335.0,Freeheld,Julianne Moore|Ellen Page|Steve Carell|Michael Shannon|Luke Grimes,Peter Sollett,new jersey|equality|lesbian couple|cancer,103,Romance|Drama,Double Feature Films|Endgame Entertainment|High Frequency Entertainment,86,7.1,2015
0.701369999999999,3752316.162340903,4641089.515847268,Man Up,Simon Pegg|Lake Bell|Rory Kinnear|Ken Stott|Harriet Walter,Ben Palmer,bowling|blind date|party|mistaken identity|wedding anniversary,88,Romance|Comedy,Big Talk Productions|StudioCanal,264,6.5,2015
0.699932,3000000.0,695269.0,Love,Karl Glusman|Aomi Muyock|Klara Kristin|Juan Saavedra|Gaspar NoÃ©,Gaspar NoÃ©,paris|sex|sexuality|cocaine|nudity,134,Drama|Romance,Wild Bunch|Les CinÃ©mas de la Zone|Rectangle Productions|Scope Pictures|RT Features,307,4.7,2015
0.69957,9600000.0,2541554.0,Truth,Robert Redford|Cate Blanchett|Elisabeth Moss|Topher Grace|Dennis Quaid,James Vanderbilt,document|biography|one word title|tv reporter|directorial debut,121,Drama,Echo Lake Entertainment|RatPac Entertainment|Mythology Entertainment (II),89,6.4,2015
0.696184,3752316.162340903,4641089.515847268,Return to Sender,Rosamund Pike|Rumer Willis|Nick Nolte|Scout Taylor-Compton|Shiloh Fernandez,Fouad Mikati,date|prison|nurse|rape|flirting,95,Thriller,Voltage Pictures|Arrow Films|Boo Pictures,88,5.0,2015
0.690479,10000000.0,10835752.0,Danny Collins,Al Pacino|Annette Bening|Jennifer Garner|Bobby Cannavale|Christopher Plummer,Dan Fogelman,rock star|middle age,107,Comedy|Drama|Music,Big Indie Pictures|ShivHans Pictures,114,6.6,2015
0.689578999999999,15000000.0,3020664.0,Rock the Kasbah,Bill Murray|Zooey Deschanel|Bruce Willis|Kate Hudson|Taylor Kinney,Barry Levinson,jealousy|ex-boyfriend|afghanistan|record producer|last chance,100,Comedy|Music|War,Shangri-La Entertainment|QED International|Dune Films|Venture Forth,56,5.1,2015
0.689571,2240000.0,4641089.515847268,Fathers and Daughters,Amanda Seyfried|Kylie Rogers|Russell Crowe|Aaron Paul|QuvenzhanÃ© Wallis,Gabriele Muccino,widow|mental breakdown|family,116,Drama,Andrea Leone Films|Fear of God Films|Busted Shark Productions,142,7.0,2015
0.673792,1000000.0,14444999.0,"Hello, My Name Is Doris",Sally Field|Max Greenfield|Beth Behrs|Stephen Root|Natasha Lyonne,Michael Showalter,dating|middle age,95,Comedy|Drama|Romance,Red Crown Productions|Haven Entertainment,87,6.6,2015
0.669351,13000000.0,1784763.0,The Vatican Tapes,Olivia Taylor Dudley|Michael PeÃ±a|Djimon Hounsou|Dougray Scott|Peter Andersson,Mark Neveldine,exorcism|anti-christ|exorcists,91,Thriller|Horror,Lakeshore Entertainment|Lionsgate|H2F Entertainment|Pantelion Films,164,4.5,2015
0.661471,8000000.0,1411927.0,99 Homes,Andrew Garfield|Laura Dern|Michael Shannon|Tim Guinee|J.D. Evermore,Ramin Bahrani,florida|motel|finances|single father|mother son relationship,112,Drama,Imagenation Abu Dhabi FZ|Hyde Park Entertainment|Broad Green Pictures|Noruz Films,121,6.8,2015
0.661163,14000000.0,12314651.0,Hot Tub Time Machine 2,Rob Corddry|Craig Robinson|Clark Duke|Adam Scott|Chevy Chase,Steve Pink,time travel|sequel|hot tub|duringcreditsstinger,93,Comedy,Paramount Pictures|Metro-Goldwyn-Mayer (MGM),244,5.0,2015
0.654335,3752316.162340903,4641089.515847268,Knight of Cups,Christian Bale|Cate Blanchett|Natalie Portman|Brian Dennehy|Antonio Banderas,Terrence Malick,celebrity|money|temptation|wealthy man|excess,118,Romance|Drama,Waypoint Entertainment|Dogwood Films,101,5.7,2015
0.654046,4000000.0,143101.0,Manglehorn,Al Pacino|Chris Messina|Holly Hunter|Harmony Korine|Natalie Wilemon,David Gordon Green,unknown,97,Drama,Worldview Entertainment,35,5.0,2015
0.649628,3752316.162340903,4641089.515847268,Mississippi Grind,Ryan Reynolds|Ben Mendelsohn|Sienna Miller|Analeigh Tipton|Alfre Woodard,Ryan Fleck|Anna Boden,poker|gambling|casino|new orleans|roulette,108,Drama,Electric City Entertainment|Sycamore Pictures|Gowanus Projections,74,5.7,2015
0.644786,3752316.162340903,4641089.515847268,400 Days,Caity Lotz|Brandon Routh|Tom Cavanagh|Dane Cook|Ben Feldman,Matt Osterman,spacecraft|experiment|simulation|space|astronaut,91,Mystery|Science Fiction|Thriller,New Artists Alliance,98,4.2,2015
0.640151,3752316.162340903,4641089.515847268,Lava,Napua Greig|Kuana Torres Kahele,James Ford Murphy,pixar animated short|animation|pixar|short,7,Animation|Comedy|Family|Fantasy|Music,Pixar Animation Studios,298,7.3,2015
0.638556999999999,3752316.162340903,4641089.515847268,Air,Norman Reedus|Djimon Hounsou|Sandrine Holt|Peter Benson|Michael Hogan,Christian Cantamessa,unknown,94,Thriller|Science Fiction,Automatik Entertainment|Circle of Confusion|Skybound Entertainment,135,4.7,2015
0.633608,3752316.162340903,4641089.515847268,Riot,Matthew Reese|Dolph Lundgren|Danielle Chuchran|Chuck Liddell,John Lyde,unknown,88,Action,Mainstay Productions,11,5.0,2015
0.629560999999999,3752316.162340903,4641089.515847268,Septembers of Shiraz,Adrien Brody|Salma Hayek|Gabriella Wright|Shohreh Aghdashloo|Bashar Rahal,Wayne Blair,unknown,110,Drama|Thriller,Eclectic pictures|AMBI Group,14,5.9,2015
0.607124,3752316.162340903,8034.0,Every Thing Will Be Fine,James Franco|Rachel McAdams|Charlotte Gainsbourg|Marie-JosÃ©e Croze|Peter Stormare,Wim Wenders,unknown,118,Drama,Neue Road Movies|Film i VÃ¤st|Montauk Productions|GÃ¶ta Film,44,5.1,2015
0.606113,3752316.162340903,4641089.515847268,Extinction,Matthew Fox|Jeffrey Donovan|Quinn McColgan|Valeria Vereau|Clara Lago,Miguel Ãngel Vivas,mutant|thriller|zombies|zombie apocalypse,110,Drama|Horror|Science Fiction,Vaca Films|La Ferme! Productions|Laokoon Filmgroup|Ombra Films|TelefÃ³nica Studios,135,5.3,2015
0.602165,8000000.0,35991087.0,A Walk in the Woods,Robert Redford|Nick Nolte|Emma Thompson|Nick Offerman|Kristen Schaal,Ken Kwapis,hiking|backpacker|friends|appalachian trail,104,Drama|Adventure|Comedy,Wildwood Enterprises|Route One Films,171,5.4,2015
0.599751,3752316.162340903,4641089.515847268,Clown,Peter Stormare|Laura Allen|Elizabeth Whitmere|Christian Distefano|John MacDonald,Jon Watts,clown|boy|murder|blood|child murder,100,Horror,Zed Filmworks|Cross Creek Pictures|Vertebra Films|PS 260,182,5.2,2015
0.589472,3752316.162340903,4641089.515847268,Batman vs. Robin,Jason O'Mara|Stuart Allan|David McCallum|Sean Maher|Jeremy Sisto,Jay Oliva,gotham city|robin|super powers|dollmaker|court of owls,72,Action|Adventure|Animation,Warner Bros. Animation|DC Entertainment,142,6.8,2015
0.586735,8000000.0,4641089.515847268,Careful What You Wish For,Dermot Mulroney|Kandyse McClure|Isabel Lucas|Graham Rogers|Nick Jonas,Elizabeth Allen Rosenbaum,woman director,91,Thriller,Hyde Park Entertainment|Troika Pictures|Amasia Entertainment|Merced Media Partners|Roberi Media,57,5.4,2015
0.584363,3752316.162340903,4641089.515847268,Racing Extinction,Elon Musk|Jane Goodall|Louie Psihoyos|Leilani Munter|Charles Hambleton,Louie Psihoyos,animal species|earth|scientist|globe|activist,90,Adventure|Documentary,unknown,36,7.8,2015
0.577814,35000000.0,14431253.0,Unfinished Business,Vince Vaughn|Dave Franco|James Marsden|June Diane Raphael|Sienna Miller,Ken Scott,europe|business trip,90,Comedy,Studio Babelsberg|Regency Enterprises|Escape Artists|New Regency Pictures,241,4.9,2015
0.570743999999999,2000000.0,45431.0,Lost River,Christina Hendricks|Saoirse Ronan|Eva Mendes|Matt Smith|Iain De Caestecker,Ryan Gosling,underworld|lost city,95,Fantasy|Thriller,Bold Films|Marc Platt Productions|Phantasma,129,5.7,2015
0.569443,3752316.162340903,4641089.515847268,Cobain: Montage of Heck,Kurt Cobain|Dave Grohl|Courtney Love|Krist Novoselic,Brett Morgen,unknown,132,Music|Documentary,HBO Documentary Films|Public Road Productions,197,7.5,2015
0.561032,3752316.162340903,4641089.515847268,Hyena Road,Paul Gross|Rossif Sutherland|Clark Johnson|Allan Hawco|Christine Horne,Paul Gross,unknown,120,War|Drama,Rhombus Media|International Traders|Buffalo Gal Pictures|Whizbang Films|Triple 7 Films,29,5.7,2015
0.560743999999999,7000000.0,4641089.515847268,Criminal Activities,Dan Stevens|John Travolta|Michael Pitt|Jackie Earle Haley|Travis Aaron Wade,Jackie Earle Haley,mobster|money problems|borrow|trouble|classmates,94,Thriller|Crime|Drama,NeeNee Productions|Capacity Pictures|May Day Movies,67,5.9,2015
0.560423,12000000.0,4641089.515847268,Life,Robert Pattinson|Dane DeHaan|Joel Edgerton|Ben Kingsley|Kelly McCreary,Anton Corbijn,james dean|magazine|biography|celebrity|buddy,112,Drama,See-Saw Films,75,5.9,2015
0.553238,3752316.162340903,45710059.0,"McFarland, USA",Kevin Costner|Ramiro Rodriguez|Carlos Pratts|Johnny Ortiz|Rafael Martinez,Niki Caro,california|small town|coach|championship|woman director,128,Drama,Walt Disney Pictures|Mayhem Pictures,139,7.4,2015
0.548586999999999,3752316.162340903,4641089.515847268,Backtrack,Adrien Brody|Sam Neill|Bruce Spence|Robin McLeavy|Jenni Baird,Michael Petroni,unknown,90,Horror|Mystery,Head Gear Films|Screen Australia|Metrol Technology|Bankside Films,52,5.4,2015
0.547827,3752316.162340903,4641089.515847268,X+Y,Asa Butterfield|Rafe Spall|Sally Hawkins|Eddie Marsan|Jo Yang,Morgan Matthews,child prodigy|mathematics|death of father|coming of age|teenager,111,Drama,Original Pictures|Head Gear Films|Minnow Films,133,6.0,2015
0.546458,3000000.0,4641089.515847268,Home Sweet Hell,Katherine Heigl|Patrick Wilson|Jordana Brewster|Kevin McKidd|Bryce Johnson,Anthony Burns,wife|murder|black comedy|suburbia|drug,98,Drama|Comedy,Darko Entertainment|Passcode Entertainment|Donnybrook4 Productions,136,4.9,2015
